account_id,region,risk_tier,account_open_date
ACC-1104,MIDWEST,High,2025-05-19
ACC-1105,Midwest ,Low,2025-05-19
ACC-1106,West,high,2025-03-25
ACC-1107,mw,Med,2025-11-28
ACC-1108,West,Med,2025-03-25
ACC-1109,mw,High,2025-05-19
ACC-1110,WEST,high,2025-05-19
ACC-1111,MIDWEST,,2025-05-19
ACC-1112,WEST,,2025-11-28
ACC-1113,mw,Med,2025-11-28
ACC-1114,Midwest ,,2025-05-19
ACC-1115,mw,Med,2025-03-25
ACC-1116,West,,2025-03-25
ACC-1117,West,,2025-03-25
ACC-1118,,Med,2025-11-28
ACC-1119,Midwest ,,00/00/2025
ACC-1120,WEST,Low,2025-11-28
ACC-1121,East,LOW,2025-03-25
ACC-1122,mw,,00/00/2025
ACC-1123,EAST,high,2025-11-28
ACC-1124,Midwest ,Low,2025-10-01
ACC-1125,MIDWEST,Med,2025-05-19
ACC-1126,mw,High,2025-10-01
ACC-1127,MIDWEST,Med,2025-03-25
ACC-1128,MIDWEST,Med,2025-10-01
ACC-1129,West,,2025-11-28
ACC-1130,East,high,00/00/2025
ACC-1131,mw,LOW,2025-10-01
ACC-1132,mw,High,2025-11-28
ACC-1133,mw,,2025-03-25
ACC-1134,EAST,,2025-10-01
ACC-1135,WEST,LOW,2025-11-28
ACC-1136,EAST,Low,00/00/2025
ACC-1137,West,LOW,00/00/2025
ACC-1138,East,Med,2025-10-01
ACC-1139,West,Low,2025-10-01
ACC-1140,EAST,Med,2025-03-25
ACC-1141,Midwest ,Med,2025-03-25
ACC-1142,EAST,,2025-05-19
ACC-1143,East,Low,2025-11-28
ACC-1144,WEST,LOW,2025-05-19
ACC-1145,WEST,Low,2025-11-28
ACC-1146,EAST,Med,2025-03-25
ACC-1147,EAST,high,2025-05-19
ACC-1148,Midwest ,High,2025-05-19
ACC-1149,West,Med,2025-11-28
ACC-1150,EAST,Low,2025-05-19
ACC-1151,West,Med,00/00/2025
ACC-1152,Midwest ,,2025-03-25
ACC-1153,East,,2025-11-28
ACC-1154,WEST,high,2025-03-25
ACC-1155,EAST,Med,00/00/2025
ACC-1156,WEST,high,2025-10-01
ACC-1157,West,High,00/00/2025
ACC-1158,mw,high,2025-05-19
ACC-1159,WEST,High,2025-05-19
ACC-1160,MIDWEST,Med,2025-03-25
ACC-1161,West,High,2025-05-19
ACC-1162,East,High,00/00/2025
ACC-1163,,,2025-10-01
ACC-1164,,,2025-10-01
ACC-1165,Midwest ,Med,2025-05-19
ACC-1166,East,Low,2025-10-01
ACC-1167,WEST,LOW,2025-10-01
ACC-1168,mw,Low,2025-11-28
ACC-1169,West,High,2025-05-19
ACC-1170,Midwest ,High,00/00/2025
ACC-1171,West,,00/00/2025
ACC-1172,,High,2025-10-01
ACC-1173,mw,,2025-11-28
ACC-1174,Midwest ,High,2025-10-01
ACC-1175,mw,,2025-05-19
ACC-1176,,Low,2025-05-19
ACC-1177,West,Low,00/00/2025
ACC-1178,mw,High,2025-05-19
ACC-1179,East,High,2025-05-19
ACC-1180,EAST,high,00/00/2025
ACC-1181,mw,,00/00/2025
ACC-1182,,Med,2025-10-01
ACC-1183,WEST,high,00/00/2025
ACC-1184,West,Med,00/00/2025
ACC-1185,Midwest ,,2025-03-25
ACC-1186,West,Med,2025-03-25
ACC-1187,East,high,2025-11-28
ACC-1188,mw,LOW,2025-10-01
ACC-1189,EAST,,2025-10-01
ACC-1190,West,Low,00/00/2025
ACC-1191,EAST,Med,2025-05-19
ACC-1192,,High,2025-11-28
ACC-1193,West,High,00/00/2025
ACC-1194,MIDWEST,high,00/00/2025
ACC-1195,,Low,2025-03-25
ACC-1196,WEST,High,00/00/2025
ACC-1197,West,High,2025-10-01
ACC-1198,WEST,High,00/00/2025
ACC-1199,MIDWEST,High,2025-03-25
ACC-1200,EAST,,2025-10-01
ACC-1201,,LOW,2025-05-19
ACC-1202,MIDWEST,High,2025-05-19
ACC-1203,MIDWEST,Low,00/00/2025
ACC-1204,mw,High,2025-10-01
ACC-1205,MIDWEST,Med,00/00/2025
ACC-1206,East,LOW,00/00/2025
ACC-1207,East,Med,00/00/2025
ACC-1208,WEST,High,2025-03-25
ACC-1209,Midwest ,High,2025-11-28
ACC-1210,MIDWEST,Med,2025-10-01
ACC-1211,Midwest ,,2025-11-28
ACC-1212,MIDWEST,LOW,2025-10-01
ACC-1213,MIDWEST,high,2025-10-01
ACC-1214,West,LOW,00/00/2025
ACC-1215,Midwest ,high,2025-10-01
ACC-1216,,,2025-03-25
ACC-1217,East,LOW,2025-05-19
ACC-1218,Midwest ,LOW,2025-03-25
ACC-1219,Midwest ,high,2025-11-28
ACC-1220,WEST,high,00/00/2025
ACC-1221,EAST,,2025-10-01
ACC-1222,Midwest ,high,2025-10-01
ACC-1223,Midwest ,,2025-03-25
ACC-1224,Midwest ,high,2025-11-28
ACC-1225,East,high,00/00/2025
ACC-1226,East,Low,2025-05-19
ACC-1227,East,Low,00/00/2025
ACC-1228,,Low,00/00/2025
ACC-1229,East,,00/00/2025
ACC-1230,mw,High,2025-10-01
ACC-1231,WEST,high,2025-05-19
ACC-1232,,High,00/00/2025
ACC-1233,WEST,Med,2025-10-01
ACC-1234,Midwest ,Med,00/00/2025
ACC-1235,West,High,2025-05-19
ACC-1236,EAST,Med,2025-11-28
ACC-1237,,Med,2025-10-01
ACC-1238,,LOW,2025-03-25
ACC-1239,WEST,Med,2025-03-25
ACC-1240,WEST,high,2025-11-28
ACC-1241,West,Low,2025-10-01
ACC-1242,EAST,High,2025-05-19
ACC-1243,West,,00/00/2025
ACC-1244,,High,2025-11-28
ACC-1245,Midwest ,Med,2025-10-01
ACC-1246,EAST,,2025-10-01
ACC-1247,WEST,,2025-05-19
ACC-1248,East,High,2025-05-19
ACC-1249,East,High,2025-05-19
ACC-1250,East,Med,00/00/2025
ACC-1251,WEST,Med,2025-03-25
ACC-1252,West,Low,2025-10-01
ACC-1253,East,Low,2025-05-19
ACC-1254,mw,LOW,2025-10-01
ACC-1255,,Med,2025-05-19
ACC-1256,WEST,Low,2025-10-01
ACC-1257,WEST,LOW,2025-03-25
ACC-1258,mw,Med,2025-11-28
ACC-1259,mw,Med,2025-11-28
ACC-1260,MIDWEST,high,2025-03-25
ACC-1261,mw,,00/00/2025
ACC-1262,Midwest ,Low,2025-05-19
ACC-1263,WEST,High,00/00/2025
ACC-1264,,Med,2025-10-01
ACC-1265,MIDWEST,Med,00/00/2025
ACC-1266,Midwest ,Low,00/00/2025
ACC-1267,,Low,2025-05-19
ACC-1268,MIDWEST,LOW,2025-10-01
ACC-1269,WEST,Low,2025-10-01
ACC-1270,Midwest ,high,00/00/2025
ACC-1271,West,high,00/00/2025
ACC-1272,,High,2025-03-25
ACC-1273,EAST,Med,2025-05-19
ACC-1274,MIDWEST,high,2025-11-28
ACC-1275,West,,2025-10-01
ACC-1276,WEST,,2025-11-28
ACC-1277,mw,LOW,2025-10-01
ACC-1278,Midwest ,LOW,2025-11-28
ACC-1279,EAST,High,2025-05-19
ACC-1280,,Med,2025-11-28
ACC-1281,West,Med,2025-03-25
ACC-1282,,Low,2025-10-01
ACC-1283,WEST,,2025-05-19
ACC-1284,West,High,2025-11-28
ACC-1285,West,,2025-10-01
ACC-1286,WEST,LOW,2025-11-28
ACC-1287,MIDWEST,LOW,2025-03-25
ACC-1288,WEST,High,2025-11-28
ACC-1289,,,2025-03-25
ACC-1290,EAST,Med,2025-05-19
ACC-1291,,High,2025-11-28
ACC-1292,MIDWEST,High,2025-03-25
ACC-1293,WEST,Low,2025-11-28
ACC-1294,West,,2025-05-19
ACC-1295,MIDWEST,,2025-03-25
ACC-1296,MIDWEST,LOW,00/00/2025
ACC-1297,,Med,2025-10-01
ACC-1298,EAST,,00/00/2025
ACC-1299,Midwest ,High,2025-03-25
ACC-1300,EAST,Med,2025-03-25
ACC-1301,Midwest ,LOW,2025-03-25
ACC-1302,EAST,,00/00/2025
ACC-1303,WEST,,00/00/2025
ACC-1304,MIDWEST,High,2025-11-28
ACC-1305,East,Med,2025-03-25
ACC-1306,Midwest ,High,2025-05-19
ACC-1307,MIDWEST,,2025-05-19
ACC-1308,,High,2025-11-28
ACC-1309,West,high,2025-03-25
ACC-1310,,,00/00/2025
ACC-1311,MIDWEST,LOW,2025-03-25
ACC-1312,mw,Med,00/00/2025
ACC-1313,,Low,2025-11-28
ACC-1314,West,,2025-10-01
ACC-1315,WEST,high,2025-11-28
ACC-1316,EAST,Low,2025-10-01
ACC-1317,Midwest ,High,2025-11-28
ACC-1318,mw,High,2025-03-25
ACC-1319,WEST,High,00/00/2025
ACC-1320,,LOW,00/00/2025
ACC-1321,mw,High,2025-10-01
ACC-1322,mw,Low,2025-03-25
ACC-1323,EAST,Med,2025-05-19
ACC-1324,WEST,Low,2025-03-25
ACC-1325,WEST,high,2025-05-19
ACC-1326,,LOW,00/00/2025
ACC-1327,,Med,2025-03-25
ACC-1328,EAST,High,2025-03-25
ACC-1329,West,,2025-10-01
ACC-1330,EAST,LOW,00/00/2025
ACC-1331,MIDWEST,Med,00/00/2025
ACC-1332,EAST,High,2025-10-01
ACC-1333,,Low,2025-10-01
ACC-1334,East,Low,00/00/2025
ACC-1335,Midwest ,high,00/00/2025
ACC-1336,MIDWEST,,2025-10-01
ACC-1337,EAST,,2025-10-01
ACC-1338,Midwest ,High,2025-03-25
ACC-1339,East,high,00/00/2025
ACC-1340,Midwest ,Med,2025-05-19
ACC-1341,EAST,Med,00/00/2025
ACC-1342,MIDWEST,high,2025-11-28
ACC-1343,West,,2025-03-25
ACC-1344,West,,2025-11-28
ACC-1345,EAST,Low,2025-11-28
ACC-1346,,LOW,2025-03-25
ACC-1347,MIDWEST,Low,2025-03-25
ACC-1348,MIDWEST,Med,2025-03-25
ACC-1349,East,High,2025-10-01
ACC-1350,West,high,00/00/2025
ACC-1351,mw,LOW,2025-10-01
ACC-1352,Midwest ,high,00/00/2025
ACC-1353,West,High,2025-05-19
ACC-1354,mw,LOW,00/00/2025
ACC-1355,WEST,High,2025-03-25
ACC-1356,MIDWEST,High,2025-03-25
ACC-1357,mw,Low,00/00/2025
ACC-1358,East,high,2025-03-25
ACC-1359,EAST,,2025-03-25
ACC-1360,,Med,2025-10-01
ACC-1361,EAST,High,2025-11-28
ACC-1362,West,High,2025-05-19
ACC-1363,East,high,2025-03-25
ACC-1364,WEST,Low,00/00/2025
ACC-1365,WEST,Low,2025-05-19
ACC-1366,MIDWEST,high,00/00/2025
ACC-1367,WEST,LOW,2025-05-19
ACC-1368,East,LOW,2025-10-01
ACC-1369,WEST,,2025-10-01
ACC-1370,Midwest ,,2025-11-28
ACC-1371,WEST,High,2025-11-28
ACC-1372,East,,2025-10-01
ACC-1373,Midwest ,Med,2025-03-25
ACC-1374,EAST,LOW,2025-10-01
ACC-1375,mw,high,2025-03-25
ACC-1376,WEST,LOW,2025-03-25
ACC-1377,,Med,2025-03-25
ACC-1378,Midwest ,High,2025-11-28
ACC-1379,mw,LOW,00/00/2025
ACC-1380,East,Low,00/00/2025
ACC-1381,MIDWEST,Med,2025-05-19
ACC-1382,Midwest ,High,2025-03-25
ACC-1383,WEST,high,00/00/2025
ACC-1384,East,Low,2025-10-01
ACC-1385,,Low,2025-05-19
ACC-1386,East,high,2025-10-01
ACC-1387,Midwest ,,00/00/2025
ACC-1388,WEST,,00/00/2025
ACC-1389,Midwest ,LOW,2025-11-28
ACC-1390,MIDWEST,Med,00/00/2025
ACC-1391,Midwest ,Low,2025-10-01
ACC-1392,mw,High,00/00/2025
ACC-1393,East,,2025-05-19
ACC-1394,EAST,high,2025-10-01
ACC-1395,EAST,,2025-11-28
ACC-1396,,high,00/00/2025
ACC-1397,WEST,Low,2025-03-25
ACC-1398,West,High,00/00/2025
ACC-1399,West,Med,2025-11-28
ACC-1400,East,high,2025-03-25
ACC-1401,MIDWEST,High,2025-03-25
ACC-1402,West,Low,00/00/2025
ACC-1403,Midwest ,,2025-10-01
ACC-1404,MIDWEST,Low,2025-03-25
ACC-1405,West,LOW,2025-05-19
ACC-1406,West,Low,2025-05-19
ACC-1407,West,high,2025-10-01
ACC-1408,West,Med,2025-10-01
ACC-1409,MIDWEST,Med,2025-10-01
ACC-1410,mw,high,2025-03-25
ACC-1411,mw,Low,2025-11-28
ACC-1412,mw,Low,2025-03-25
ACC-1413,West,high,2025-03-25
ACC-1414,MIDWEST,LOW,2025-03-25
ACC-1415,MIDWEST,LOW,00/00/2025
ACC-1416,Midwest ,,2025-11-28
ACC-1417,,High,2025-03-25
ACC-1418,Midwest ,High,2025-05-19
ACC-1419,West,high,2025-11-28
ACC-1420,WEST,High,2025-11-28
ACC-1421,MIDWEST,High,00/00/2025
ACC-1422,EAST,,2025-11-28
ACC-1423,,,00/00/2025
ACC-1424,Midwest ,Low,2025-03-25
ACC-1425,mw,Low,2025-10-01
ACC-1426,WEST,high,2025-05-19
ACC-1427,East,High,2025-05-19
ACC-1428,WEST,High,2025-05-19
ACC-1429,EAST,Low,2025-11-28
ACC-1430,West,High,00/00/2025
ACC-1431,West,High,2025-03-25
ACC-1432,,High,00/00/2025
ACC-1433,Midwest ,Med,00/00/2025
ACC-1434,East,,2025-03-25
ACC-1435,East,LOW,00/00/2025
ACC-1436,Midwest ,Low,2025-11-28
ACC-1437,Midwest ,High,2025-11-28
ACC-1438,East,LOW,2025-05-19
ACC-1439,MIDWEST,high,2025-05-19
ACC-1440,East,,2025-11-28
ACC-1441,EAST,Med,00/00/2025
ACC-1442,MIDWEST,Med,2025-05-19
ACC-1443,WEST,Med,2025-11-28
ACC-1444,West,LOW,00/00/2025
ACC-1445,West,Low,2025-03-25
ACC-1446,East,Low,2025-03-25
ACC-1447,West,High,2025-05-19
ACC-1448,MIDWEST,high,2025-03-25
ACC-1449,MIDWEST,LOW,2025-03-25
ACC-1450,WEST,Med,2025-03-25
ACC-1451,MIDWEST,LOW,2025-10-01
ACC-1452,EAST,Low,2025-10-01
ACC-1453,MIDWEST,Low,2025-05-19
ACC-1454,West,High,00/00/2025
ACC-1455,,Med,2025-10-01
ACC-1456,East,Med,2025-03-25
ACC-1457,Midwest ,Low,2025-10-01
ACC-1458,mw,high,2025-11-28
ACC-1459,Midwest ,Med,00/00/2025
ACC-1460,EAST,High,2025-05-19
ACC-1461,,High,2025-03-25
ACC-1462,West,high,2025-11-28
ACC-1463,East,High,2025-11-28
ACC-1464,WEST,,2025-05-19
ACC-1465,,high,2025-03-25
ACC-1466,MIDWEST,LOW,00/00/2025
ACC-1467,MIDWEST,Low,2025-10-01
ACC-1468,WEST,LOW,2025-10-01
ACC-1469,WEST,Med,2025-03-25
ACC-1470,Midwest ,Low,00/00/2025
ACC-1471,EAST,LOW,2025-10-01
ACC-1472,EAST,high,2025-10-01
ACC-1473,East,Low,00/00/2025
ACC-1474,MIDWEST,High,2025-11-28
ACC-1475,,Low,2025-03-25
ACC-1476,EAST,high,00/00/2025
ACC-1477,EAST,Med,2025-11-28
ACC-1478,EAST,Low,2025-03-25
ACC-1479,mw,high,00/00/2025
ACC-1480,East,Low,00/00/2025
ACC-1481,Midwest ,LOW,00/00/2025
ACC-1482,EAST,high,2025-11-28
ACC-1483,EAST,Med,2025-03-25
ACC-1484,West,Med,2025-10-01
ACC-1485,Midwest ,high,2025-11-28
ACC-1486,West,Med,2025-03-25
ACC-1487,mw,LOW,2025-11-28
ACC-1488,mw,Med,2025-10-01
ACC-1489,mw,high,2025-10-01
ACC-1490,Midwest ,LOW,00/00/2025
ACC-1491,,high,2025-05-19
ACC-1492,,,2025-05-19
ACC-1493,East,,2025-03-25
ACC-1494,mw,High,2025-11-28
ACC-1495,,High,2025-03-25
ACC-1496,WEST,high,2025-11-28
ACC-1497,East,high,2025-11-28
ACC-1498,WEST,High,00/00/2025
ACC-1499,MIDWEST,Low,2025-03-25
