contract_id,account_id,total_contract_value,monthly_payment_amount,payment_status,vendor_code,product_category,payment_method,delinquency_cycle,underwriter_id,collateral_value,interest_rate
CON-5088,ACC-1168,50517,2603,past due,vndr_b,Equipment,Credit Card,60,UW_102,121k,0.068
CON-5089,ACC-1355,67652,3392, Paid ,VNDR_C,Fleet_Car,Autopay ,90,UW_102,65000,8.4%
CON-5090,ACC-1281,118005,910,Paid,vndr_b,Equipment,Credit Card,90,UW_102,71000,0.065
CON-5091,ACC-1129,33129,3497,Current,vndr_c,FLEET_TRUCK,Autopay,0,UW_102,124000,4.6%
CON-5092,ACC-1278,140628,950,past due,vndr_c,Equipment,ACH,0,UW_99,156000,0.081
CON-5093,ACC-1495,$108063,3882,past due,vndr_b,Fleet_Car,ACH,0,UW_102,31000,0.069
CON-5094,ACC-1191,73196,2402, Paid ,vndr_c,Equipment,Credit Card,60,UW_99,152000,7.1%
CON-5095,ACC-1373,$141555,1380,past due,VNDR_B,FLEET_TRUCK,Autopay,30,UW_45,126000,0.044
CON-5096,ACC-1153,141596,983,Paid,VNDR_A,Fleet_Car,Autopay ,0,UW_45,44k,7.1%
CON-5097,ACC-1218,58084,2692,Current,vndr_b,Equipment,Credit Card,30,UW_45,82000,6.5%
CON-5098,ACC-1109,128281,1642,past due,vndr_c,Fleet_Car,ACH,,UW_99,70k,5.9%
CON-5099,ACC-1494,110890,3417,past due,VNDR_C,FLEET_TRUCK,Autopay,,UW_99,137k,7.0%
CON-5100,ACC-1152,106206,3316,CURRENT,VNDR_A,Equipment,Credit Card,60,UW_99,137000,0.077
CON-5101,ACC-1305,77540,1364,CURRENT,vndr_b,FLEET_TRUCK,Credit Card,90,UW_45,66k,4.6%
CON-5102,ACC-1317,60412,1019,past due,VNDR_A,FLEET_TRUCK,Credit Card,30,UW_102,145k,0.048
CON-5103,ACC-1250,147497,1485,Past Due,VNDR_C,Fleet_Car,Credit Card,60,UW_99,124000,0.059
CON-5104,ACC-1392,87051,2828,CURRENT,VNDR_C,Fleet_Car,ACH,60,UW_45,93k,0.061
CON-5105,ACC-1217,111170,1219,Paid,vndr_c,Fleet_Car,Autopay ,0,UW_102,30000,6.0%
CON-5106,ACC-1121,83895,1659,Paid,VNDR_C,Equipment,Autopay ,,UW_45,42k,0.085
CON-5107,ACC-1291,$127241,2236,CURRENT,VNDR_B,Equipment,Credit Card,60,UW_45,55000,0.077
CON-5108,ACC-1417,91712,1190,Current,vndr_b,Fleet_Car,Autopay ,30,UW_45,88000,0.063
CON-5109,ACC-1250,49784,1382,CURRENT,vndr_c,FLEET_TRUCK,Autopay,90,UW_102,102000,0.074
CON-5110,ACC-1449,34796,2311, Paid ,vndr_b,FLEET_TRUCK,ACH,0,UW_45,43k,0.074
CON-5111,ACC-1495,135179,2559,Current,vndr_b,FLEET_TRUCK,Autopay ,60,UW_102,111000,7.6%
CON-5112,ACC-1023,49234,1207,Paid,vndr_b,Fleet_Car,ACH,30,UW_102,144000,0.08
CON-5113,ACC-1332,$134673,2036,Current,VNDR_B,Fleet_Car,Autopay ,60,UW_99,129k,7.1%
CON-5114,ACC-1386,112476,1759, Paid ,vndr_c,Fleet_Car,ACH,0,UW_99,62k,0.068
CON-5115,ACC-1175,$139992,4146,Past Due,vndr_b,Equipment,Credit Card,90,UW_99,77000,6.0%
CON-5116,ACC-1195,75017,3968,Current,vndr_c,Equipment,Credit Card,0,UW_45,46k,5.7%
CON-5117,ACC-1077,17221,2486,CURRENT,vndr_c,FLEET_TRUCK,Credit Card,0,UW_99,62k,0.073
CON-5118,ACC-1126,51703,1934,Paid,VNDR_A,Fleet_Car,Autopay ,0,UW_45,118k,0.059
CON-5119,ACC-1401,94075,4477,Current,vndr_b,FLEET_TRUCK,ACH,30,UW_102,150k,0.058
CON-5120,ACC-1440,33615,4236,CURRENT,vndr_b,FLEET_TRUCK,Credit Card,90,UW_99,23000,8.2%
CON-5121,ACC-1404,19375,2430,CURRENT,VNDR_B,Equipment,Autopay,90,UW_45,23k,4.2%
CON-5122,ACC-1040,$120454,2894,Current,vndr_a,Equipment,Autopay ,90,UW_45,157000,4.7%
CON-5123,ACC-1044,32331,2579,Past Due,vndr_b,Equipment,ACH,60,UW_45,131000,7.8%
CON-5124,ACC-1267,$61044,2918,Paid,VNDR_B,Fleet_Car,Autopay ,30,UW_45,55000,0.047
CON-5125,ACC-1139,85454,2945,Past Due,VNDR_B,Equipment,ACH,90,UW_102,50000,0.041
CON-5126,ACC-1395,148898,1221,CURRENT,vndr_c,Equipment,ACH,30,UW_45,147000,4.8%
CON-5127,ACC-1076,$148385,1533,Past Due,VNDR_C,Equipment,Autopay,30,UW_102,23k,6.1%
CON-5128,ACC-1257,80080,3557,Past Due,vndr_a,Fleet_Car,ACH,90,UW_99,101k,4.4%
CON-5129,ACC-1102,136921,1994,CURRENT,VNDR_B,Equipment,Credit Card,90,UW_102,99k,6.5%
CON-5130,ACC-1077,144331,826, Paid ,VNDR_A,Fleet_Car,Autopay ,0,UW_102,70000,0.065
CON-5131,ACC-1271,15383,1775, Paid ,vndr_b,Fleet_Car,Credit Card,60,UW_99,116000,7.3%
CON-5132,ACC-1382,26508,1147,CURRENT,VNDR_A,Equipment,Credit Card,90,UW_99,153k,8.0%
CON-5133,ACC-1410,31327,2409,Paid,vndr_c,FLEET_TRUCK,Autopay ,90,UW_102,53k,5.2%
CON-5134,ACC-1054,$76239,1473, Paid ,vndr_b,FLEET_TRUCK,Autopay,0,UW_45,71k,7.5%
CON-5135,ACC-1046,108922,1445,Paid,VNDR_B,Equipment,ACH,30,UW_102,73k,0.061
CON-5136,ACC-1153,$53882,1865,Current,VNDR_A,FLEET_TRUCK,Autopay,,UW_45,83000,5.8%
CON-5137,ACC-1425,$80497,3998,Current,vndr_a,Fleet_Car,Autopay,60,UW_45,46000,4.6%
CON-5138,ACC-1101,37030,4496,Paid,vndr_b,Fleet_Car,ACH,60,UW_99,86000,0.043
CON-5139,ACC-1202,26192,2832,Past Due,vndr_b,Equipment,Autopay,30,UW_102,32k,0.066
CON-5140,ACC-1317,71286,3327,Current,vndr_c,FLEET_TRUCK,Autopay,90,UW_45,90k,8.0%
CON-5141,ACC-1408,$140575,2953,Current,vndr_c,Equipment,ACH,90,UW_45,91k,0.059
CON-5142,ACC-1138,109139,1536,Past Due,VNDR_B,Equipment,Credit Card,0,UW_102,144k,6.5%
CON-5143,ACC-1498,30359,1453,Past Due,vndr_a,Equipment,Credit Card,60,UW_45,140000,0.075
CON-5144,ACC-1478,29656,4237,Current,vndr_a,Fleet_Car,Autopay ,60,UW_45,76000,8.4%
CON-5145,ACC-1096,22394,4227, Paid ,VNDR_C,FLEET_TRUCK,Credit Card,90,UW_99,110000,0.065
CON-5146,ACC-1314,$38660,1625,Current,VNDR_B,Equipment,Credit Card,60,UW_99,76k,6.2%
CON-5147,ACC-1491,$20744,1097,past due,vndr_c,Equipment,Autopay,,UW_99,56000,0.078
CON-5148,ACC-1327,103227,2795,Paid,VNDR_B,Fleet_Car,Autopay ,30,UW_45,54000,7.3%
CON-5149,ACC-1485,60967,3146, Paid ,VNDR_C,Fleet_Car,Credit Card,,UW_102,95k,0.073
CON-5150,ACC-1121,72906,2220,past due,vndr_a,Equipment,ACH,60,UW_102,46000,0.046
CON-5151,ACC-1368,17987,805,Past Due,vndr_b,FLEET_TRUCK,Autopay,30,UW_102,83000,0.056
CON-5152,ACC-1442,144258,3167,Paid,vndr_c,Fleet_Car,Credit Card,90,UW_99,109000,4.5%
CON-5153,ACC-1454,23758,2337,Current,vndr_c,Fleet_Car,ACH,60,UW_45,101k,4.5%
CON-5154,ACC-1080,141546,1019,Past Due,VNDR_B,Fleet_Car,Credit Card,90,UW_45,130000,0.047
CON-5155,ACC-1430,84537,2810,Current,VNDR_A,FLEET_TRUCK,ACH,90,UW_99,96k,0.042
CON-5156,ACC-1149,92214,1135, Paid ,VNDR_A,FLEET_TRUCK,Autopay,90,UW_102,142k,4.1%
CON-5157,ACC-1095,$84469,2625,Past Due,VNDR_B,FLEET_TRUCK,Autopay,60,UW_99,159k,5.7%
CON-5158,ACC-1176,85401,4110,CURRENT,vndr_b,Equipment,Credit Card,,UW_99,58000,7.0%
CON-5159,ACC-1293,116477,4411,Current,vndr_b,FLEET_TRUCK,ACH,90,UW_45,127000,0.071
CON-5160,ACC-1061,24103,3901, Paid ,vndr_a,Fleet_Car,Credit Card,30,UW_99,152000,0.07
CON-5161,ACC-1304,26187,1856,past due,vndr_c,Fleet_Car,ACH,90,UW_45,131k,7.7%
CON-5162,ACC-1358,119164,3352,CURRENT,VNDR_C,FLEET_TRUCK,ACH,90,UW_99,90000,8.1%
CON-5163,ACC-1146,53849,4353,CURRENT,VNDR_B,FLEET_TRUCK,Autopay ,90,UW_45,45000,6.5%
CON-5164,ACC-1311,142293,3588,Paid,vndr_b,Fleet_Car,Autopay,60,UW_45,141k,5.2%
CON-5165,ACC-1418,$77279,4050,past due,VNDR_B,FLEET_TRUCK,Autopay,0,UW_99,141000,8.0%
CON-5166,ACC-1309,50228,3444,Past Due,vndr_a,FLEET_TRUCK,Credit Card,90,UW_45,133000,0.054
CON-5167,ACC-1159,141998,3706,CURRENT,vndr_b,Fleet_Car,ACH,30,UW_99,115000,6.3%
CON-5168,ACC-1101,67619,1922,past due,vndr_b,Equipment,Autopay,0,UW_45,83k,4.2%
CON-5169,ACC-1300,23011,3058,past due,VNDR_B,Fleet_Car,Autopay ,0,UW_102,145000,0.048
CON-5170,ACC-1113,22195,3451,Current,vndr_c,Fleet_Car,Autopay ,90,UW_45,61000,7.5%
CON-5171,ACC-1410,20256,834,Current,VNDR_B,Equipment,Autopay ,60,UW_102,22k,4.6%
CON-5172,ACC-1422,113690,3354, Paid ,VNDR_C,Fleet_Car,ACH,,UW_45,137k,0.061
CON-5173,ACC-1141,113102,3423,past due,VNDR_B,FLEET_TRUCK,Autopay ,30,UW_99,92k,4.5%
CON-5174,ACC-1335,77993,2837,past due,VNDR_B,FLEET_TRUCK,Autopay,90,UW_45,123000,0.071
CON-5175,ACC-1326,24258,4014, Paid ,vndr_c,FLEET_TRUCK,Autopay ,30,UW_45,68k,0.072
CON-5176,ACC-1390,62483,1549,Paid,VNDR_B,Equipment,ACH,30,UW_102,140k,0.052
CON-5177,ACC-1299,73544,2004, Paid ,VNDR_A,FLEET_TRUCK,ACH,,UW_45,98k,8.0%
CON-5178,ACC-1152,33668,2492,Past Due,vndr_a,Fleet_Car,Credit Card,60,UW_102,69000,7.9%
CON-5179,ACC-1090,$134949,2083,Paid,VNDR_A,Fleet_Car,Autopay,60,UW_99,66000,0.062
CON-5180,ACC-1314,59198,2576,Paid,vndr_b,FLEET_TRUCK,Autopay,90,UW_102,60k,7.4%
CON-5181,ACC-1387,$16223,4212,CURRENT,vndr_a,Fleet_Car,ACH,30,UW_99,71000,0.083
CON-5182,ACC-1421,105269,987,past due,VNDR_B,FLEET_TRUCK,Autopay ,90,UW_45,46k,6.6%
CON-5183,ACC-1470,50072,4125, Paid ,VNDR_A,Fleet_Car,Credit Card,30,UW_99,145k,0.048
CON-5184,ACC-1192,20744,4390,Paid,VNDR_B,Equipment,ACH,,UW_99,63k,0.072
CON-5185,ACC-1063,43341,3041,past due,vndr_b,Equipment,Credit Card,30,UW_45,25k,4.5%
CON-5186,ACC-1070,17439,2515,Past Due,VNDR_C,Equipment,ACH,60,UW_99,45000,0.052
CON-5187,ACC-1183,42856,3681, Paid ,VNDR_B,Fleet_Car,ACH,,UW_102,71000,0.077
CON-5188,ACC-1464,69445,1252,CURRENT,vndr_c,FLEET_TRUCK,Credit Card,0,UW_45,143k,0.04
CON-5189,ACC-1151,34673,1881, Paid ,VNDR_A,Fleet_Car,Credit Card,0,UW_102,45000,6.9%
CON-5190,ACC-1455,109428,987,Past Due,vndr_a,Equipment,Credit Card,60,UW_102,100k,0.045
CON-5191,ACC-1093,129744,1266, Paid ,vndr_b,FLEET_TRUCK,Autopay ,90,UW_45,88000,0.044
CON-5192,ACC-1482,140369,4258,Current,VNDR_A,FLEET_TRUCK,Autopay,,UW_45,62k,7.1%
CON-5193,ACC-1450,$129861,4234,Paid,vndr_a,FLEET_TRUCK,Autopay,0,UW_102,117000,0.068
CON-5194,ACC-1268,$130523,3943,Paid,VNDR_C,Equipment,Credit Card,60,UW_45,86000,0.041
CON-5195,ACC-1076,39967,4236,CURRENT,VNDR_C,Fleet_Car,ACH,30,UW_45,83k,0.07
CON-5196,ACC-1496,138021,1939,Past Due,VNDR_C,Fleet_Car,Autopay,90,UW_99,62k,6.2%
CON-5197,ACC-1254,35664,3852,Paid,VNDR_A,Fleet_Car,Autopay,90,UW_99,134k,6.2%
CON-5198,ACC-1233,15044,2196,past due,VNDR_A,Fleet_Car,Autopay,60,UW_45,97000,0.065
CON-5199,ACC-1113,139029,808,past due,VNDR_B,Equipment,Autopay ,,UW_45,113000,0.045
CON-5200,ACC-1380,113013,3755, Paid ,VNDR_A,FLEET_TRUCK,Credit Card,30,UW_99,31000,0.062
CON-5201,ACC-1474,117995,3393,Paid,VNDR_C,Fleet_Car,Autopay,90,UW_45,68000,4.5%
CON-5202,ACC-1221,$147172,4235,CURRENT,vndr_b,Equipment,Credit Card,,UW_99,147k,0.073
CON-5203,ACC-1468,$48654,3636,Current,VNDR_B,FLEET_TRUCK,Autopay ,60,UW_102,102000,0.057
CON-5204,ACC-1364,$49962,3818,CURRENT,vndr_c,Fleet_Car,Credit Card,30,UW_45,151k,0.072
CON-5205,ACC-1257,91173,3022,Paid,vndr_c,FLEET_TRUCK,ACH,60,UW_45,53000,0.069
CON-5206,ACC-1449,140926,4270, Paid ,VNDR_A,Equipment,ACH,0,UW_102,126000,0.08
CON-5207,ACC-1146,$53096,3599,past due,vndr_a,Fleet_Car,Autopay ,30,UW_45,34k,7.4%
CON-5208,ACC-1442,23468,1718,Paid,vndr_c,Equipment,Autopay,30,UW_45,135k,0.079
CON-5209,ACC-1499,90402,3606,past due,VNDR_C,Fleet_Car,ACH,60,UW_99,32000,0.057
CON-5210,ACC-1397,131146,3769,Current,VNDR_B,FLEET_TRUCK,Credit Card,0,UW_99,114000,0.065
CON-5211,ACC-1066,60559,1459,CURRENT,VNDR_B,Fleet_Car,Autopay ,90,UW_45,50k,0.059
CON-5212,ACC-1431,$55581,3511,past due,vndr_b,Equipment,Autopay ,0,UW_45,102000,0.075
CON-5213,ACC-1278,98324,2999, Paid ,VNDR_A,FLEET_TRUCK,Credit Card,30,UW_45,67000,7.5%
CON-5214,ACC-1287,102001,4173,Paid,VNDR_A,Fleet_Car,Autopay ,90,UW_99,95k,0.074
CON-5215,ACC-1131,78917,3012,Paid,VNDR_B,Fleet_Car,Autopay ,,UW_45,102k,7.6%
CON-5216,ACC-1485,131800,1193,Current,VNDR_C,Equipment,ACH,0,UW_99,95000,0.049
CON-5217,ACC-1449,70882,3836, Paid ,vndr_c,Fleet_Car,Credit Card,0,UW_102,128000,0.049
CON-5218,ACC-1294,$101957,4165,Current,VNDR_B,FLEET_TRUCK,Autopay,90,UW_45,38k,0.076
CON-5219,ACC-1368,121023,3332,Past Due,vndr_c,Equipment,ACH,0,UW_102,24k,4.5%
CON-5220,ACC-1195,$146815,2418,Paid,VNDR_A,FLEET_TRUCK,Credit Card,,UW_99,97000,0.053
CON-5221,ACC-1454,50751,4056,Paid,vndr_c,FLEET_TRUCK,ACH,,UW_45,159k,6.9%
CON-5222,ACC-1043,$52060,2048,Current,vndr_c,Equipment,Autopay ,30,UW_102,21000,0.058
CON-5223,ACC-1092,$149362,3548,CURRENT,VNDR_A,Equipment,Autopay,,UW_99,67k,7.8%
CON-5224,ACC-1169,91192,2262,Current,vndr_c,Equipment,Credit Card,0,UW_102,84k,7.3%
CON-5225,ACC-1355,33299,3192,Current,VNDR_C,Equipment,Autopay ,60,UW_102,101k,0.055
CON-5226,ACC-1141,$59207,4241,past due,vndr_a,Equipment,Autopay ,90,UW_102,83000,0.072
CON-5227,ACC-1041,131747,4247,past due,vndr_a,Equipment,Credit Card,60,UW_45,98k,0.045
CON-5228,ACC-1296,35044,2459,CURRENT,vndr_a,Fleet_Car,Autopay ,,UW_45,24000,0.068
CON-5229,ACC-1375,138759,4310,past due,vndr_a,FLEET_TRUCK,ACH,90,UW_102,58k,0.05
CON-5230,ACC-1084,$146640,3901,CURRENT,vndr_a,FLEET_TRUCK,Credit Card,30,UW_45,81000,0.076
CON-5231,ACC-1118,53325,1057,past due,VNDR_B,Fleet_Car,ACH,30,UW_45,143000,0.042
CON-5232,ACC-1052,109699,3682,CURRENT,vndr_c,FLEET_TRUCK,Autopay ,,UW_45,136000,0.042
CON-5233,ACC-1264,60573,1830, Paid ,vndr_a,Equipment,Autopay,60,UW_102,116k,0.069
CON-5234,ACC-1039,142627,2907,Paid,VNDR_B,Fleet_Car,Credit Card,30,UW_99,21000,4.6%
CON-5235,ACC-1058,109954,2772,Paid,vndr_b,FLEET_TRUCK,Credit Card,,UW_99,50000,5.9%
CON-5236,ACC-1262,$122714,960,CURRENT,vndr_a,Fleet_Car,Credit Card,60,UW_99,31k,6.7%
CON-5237,ACC-1484,121287,1151,Current,vndr_b,Equipment,Autopay,90,UW_99,24000,0.073
CON-5238,ACC-1337,72504,2892,past due,vndr_a,Equipment,Autopay ,90,UW_45,56000,7.7%
CON-5239,ACC-1465,33046,2865,Paid,vndr_b,Fleet_Car,ACH,30,UW_102,118k,0.041
