log_id,contract_id,current_stage,days_delayed_in_stage,last_ping_timestamp
LOG-8064,CON-5064,1,15,2026-03-05 15:00:00
LOG-8065,CON-5065,Stage 1,1,2026-03-22 16:00:00
LOG-8066,CON-5066,Stage 1,9,2026-06-09 10:00:00
LOG-8067,CON-5067,Stage 3,29,2026-06-04 23:00:00
LOG-8068,CON-5068,Stage 3,-999,2026-04-10 06:00:00
LOG-8069,CON-5069,Stage 4,23,2026-07-19 01:00:00
LOG-8070,CON-5070,Stage 3,40,2026-01-01 10:00:00
LOG-8071,CON-5071,Stage 3,30,2026-05-24 04:00:00
LOG-8072,CON-5072,1,31,2026-03-22 19:00:00
LOG-8073,CON-5073,1,41,2026-02-18 19:00:00
LOG-8074,CON-5074,1,3,2026-07-08 06:00:00
LOG-8075,CON-5075,Stage 4,18,2026-03-05 12:00:00
LOG-8076,CON-5076,Stage 2,0,2026-03-18 08:00:00
LOG-8077,CON-5077,Unknown,1,2026-01-08 20:00:00
LOG-8078,CON-5078,Stage 2,5,2026-04-05 14:00:00
LOG-8079,CON-5079,1,24,2026-05-23 05:00:00
LOG-8080,CON-5080,Stage 4,20,2026-01-28 08:00:00
LOG-8081,CON-5081,Stage 3,45,2026-06-05 14:00:00
LOG-8082,CON-5082,Stage 1,8,2026-03-24 00:00:00
LOG-8083,CON-5083,Stage 4,-999,2026-03-25 17:00:00
LOG-8084,CON-5084,1,20,2026-07-04 12:00:00
LOG-8085,CON-5085,Stage 3,-999,2026-04-22 20:00:00
LOG-8086,CON-5086,Unknown,20,2026-06-06 01:00:00
LOG-8087,CON-5087,Stage 1,36,2026-07-13 18:00:00
LOG-8088,CON-5088,Unknown,3,2026-07-05 22:00:00
LOG-8089,CON-5089,Stage 2,4,2026-01-18 04:00:00
LOG-8090,CON-5090,Stage 1,10,2026-07-02 07:00:00
LOG-8091,CON-5091,Stage 4,22,2026-03-28 02:00:00
LOG-8092,CON-5092,1,4,2026-05-07 12:00:00
LOG-8093,CON-5093,Stage 4,-999,2026-04-17 20:00:00
LOG-8094,CON-5094,Stage 4,35,2026-01-23 06:00:00
LOG-8095,CON-5095,Stage 1,16,2026-02-28 07:00:00
LOG-8096,CON-5096,Unknown,35,2026-01-07 01:00:00
LOG-8097,CON-5097,Stage 1,14,2026-05-03 01:00:00
LOG-8098,CON-5098,1,14,2026-02-09 04:00:00
LOG-8099,CON-5099,Unknown,24,2026-07-13 20:00:00
LOG-8100,CON-5100,Stage 4,32,2026-07-15 09:00:00
LOG-8101,CON-5101,Stage 4,-999,2026-07-02 22:00:00
LOG-8102,CON-5102,Stage 1,2,2026-02-21 18:00:00
LOG-8103,CON-5103,Stage 3,37,2026-05-06 00:00:00
LOG-8104,CON-5104,Stage 2,37,2026-04-05 16:00:00
LOG-8105,CON-5105,Unknown,9,2026-05-18 00:00:00
LOG-8106,CON-5106,Stage 3,18,2026-03-10 17:00:00
LOG-8107,CON-5107,Stage 3,10,2026-02-21 19:00:00
LOG-8108,CON-5108,Stage 1,20,2026-03-08 12:00:00
LOG-8109,CON-5109,1,28,2026-01-08 14:00:00
LOG-8110,CON-5110,Stage 2,42,2026-05-12 12:00:00
LOG-8111,CON-5111,Unknown,2,2026-04-10 03:00:00
LOG-8112,CON-5112,Unknown,13,2026-02-21 18:00:00
LOG-8113,CON-5113,1,44,2026-06-22 06:00:00
LOG-8114,CON-5114,Unknown,23,2026-04-29 01:00:00
LOG-8115,CON-5115,1,36,2026-03-06 06:00:00
LOG-8116,CON-5116,Stage 2,-999,2026-01-04 06:00:00
LOG-8117,CON-5117,Stage 4,13,2026-05-08 23:00:00
LOG-8118,CON-5118,Stage 2,29,2026-04-11 19:00:00
LOG-8119,CON-5119,Stage 3,30,2026-05-24 19:00:00
LOG-8120,CON-5120,1,42,2026-03-05 02:00:00
LOG-8121,CON-5121,Stage 1,0,2026-01-08 19:00:00
LOG-8122,CON-5122,Stage 4,17,2026-01-01 09:00:00
LOG-8123,CON-5123,Stage 1,36,2026-02-10 03:00:00
LOG-8124,CON-5124,Unknown,41,2026-02-18 13:00:00
LOG-8125,CON-5125,Unknown,4,2026-03-13 13:00:00
LOG-8126,CON-5126,Stage 1,-999,2026-07-17 01:00:00
LOG-8127,CON-5127,Stage 1,16,2026-04-27 06:00:00
LOG-8128,CON-5128,Stage 2,43,2026-01-08 15:00:00
LOG-8129,CON-5129,Stage 2,-999,2026-01-23 23:00:00
LOG-8130,CON-5130,Stage 3,37,2026-06-27 17:00:00
LOG-8131,CON-5131,Stage 1,44,2026-05-25 15:00:00
LOG-8132,CON-5132,Stage 4,9,2026-02-25 02:00:00
LOG-8133,CON-5133,Stage 4,1,2026-01-10 15:00:00
LOG-8134,CON-5134,1,26,2026-02-14 00:00:00
LOG-8135,CON-5135,Unknown,42,2026-01-17 08:00:00
LOG-8136,CON-5136,Stage 1,30,2026-02-21 08:00:00
LOG-8137,CON-5137,Stage 4,12,2026-03-02 22:00:00
LOG-8138,CON-5138,Stage 4,41,2026-01-12 18:00:00
LOG-8139,CON-5139,Unknown,44,2026-05-06 07:00:00
LOG-8140,CON-5140,Stage 1,3,2026-03-15 11:00:00
LOG-8141,CON-5141,Stage 2,29,2026-05-01 17:00:00
LOG-8142,CON-5142,1,23,2026-07-05 17:00:00
LOG-8143,CON-5143,Stage 2,40,2026-03-30 13:00:00
LOG-8144,CON-5144,Stage 3,23,2026-04-30 11:00:00
LOG-8145,CON-5145,Unknown,43,2026-07-12 15:00:00
LOG-8146,CON-5146,1,23,2026-04-21 02:00:00
LOG-8147,CON-5147,Unknown,8,2026-03-27 11:00:00
LOG-8148,CON-5148,Stage 1,34,2026-06-24 05:00:00
LOG-8149,CON-5149,Stage 3,40,2026-02-07 19:00:00
LOG-8150,CON-5150,Stage 2,10,2026-05-27 04:00:00
LOG-8151,CON-5151,Stage 1,25,2026-01-21 13:00:00
LOG-8152,CON-5152,Stage 1,34,2026-01-11 16:00:00
LOG-8153,CON-5153,Stage 2,16,2026-05-21 21:00:00
LOG-8154,CON-5154,Stage 4,43,2026-07-01 10:00:00
LOG-8155,CON-5155,1,23,2026-05-21 12:00:00
LOG-8156,CON-5156,Stage 3,25,2026-02-26 18:00:00
LOG-8157,CON-5157,Stage 2,44,2026-07-12 03:00:00
LOG-8158,CON-5158,Stage 2,29,2026-02-09 22:00:00
LOG-8159,CON-5159,Stage 2,32,2026-01-28 15:00:00
LOG-8160,CON-5160,Stage 4,44,2026-03-20 07:00:00
LOG-8161,CON-5161,Stage 1,13,2026-05-19 20:00:00
LOG-8162,CON-5162,Stage 1,12,2026-01-07 00:00:00
LOG-8163,CON-5163,Stage 1,13,2026-02-17 21:00:00
LOG-8164,CON-5164,Stage 4,-999,2026-04-26 03:00:00
LOG-8165,CON-5165,Unknown,42,2026-04-14 00:00:00
LOG-8166,CON-5166,Stage 2,21,2026-04-10 11:00:00
LOG-8167,CON-5167,Unknown,39,2026-05-31 15:00:00
LOG-8168,CON-5168,Stage 1,2,2026-06-23 15:00:00
LOG-8169,CON-5169,Unknown,22,2026-01-08 08:00:00
LOG-8170,CON-5170,Stage 1,24,2026-07-12 17:00:00
LOG-8171,CON-5171,Unknown,37,2026-06-08 11:00:00
LOG-8172,CON-5172,Stage 4,1,2026-04-08 01:00:00
LOG-8173,CON-5173,1,5,2026-05-02 08:00:00
LOG-8174,CON-5174,Unknown,-999,2026-03-04 23:00:00
LOG-8175,CON-5175,Unknown,6,2026-04-27 12:00:00
LOG-8176,CON-5176,Stage 3,38,2026-05-01 01:00:00
LOG-8177,CON-5177,1,45,2026-04-26 06:00:00
LOG-8178,CON-5178,1,0,2026-06-25 04:00:00
LOG-8179,CON-5179,Stage 1,1,2026-05-10 14:00:00
LOG-8180,CON-5180,1,29,2026-03-12 22:00:00
LOG-8181,CON-5181,Stage 1,34,2026-06-17 23:00:00
LOG-8182,CON-5182,Stage 4,7,2026-06-28 16:00:00
LOG-8183,CON-5183,Stage 1,28,2026-03-17 05:00:00
LOG-8184,CON-5184,Unknown,21,2026-04-20 03:00:00
LOG-8185,CON-5185,Stage 4,4,2026-02-20 15:00:00
LOG-8186,CON-5186,Unknown,24,2026-07-18 23:00:00
LOG-8187,CON-5187,Stage 2,24,2026-01-12 09:00:00
LOG-8188,CON-5188,Stage 2,43,2026-05-30 15:00:00
LOG-8189,CON-5189,Stage 2,44,2026-01-30 03:00:00
LOG-8190,CON-5190,Stage 4,38,2026-05-25 00:00:00
LOG-8191,CON-5191,Unknown,44,2026-04-21 00:00:00
LOG-8192,CON-5192,1,44,2026-04-05 20:00:00
LOG-8193,CON-5193,Stage 4,30,2026-01-09 08:00:00
LOG-8194,CON-5194,Stage 1,27,2026-01-18 02:00:00
LOG-8195,CON-5195,Stage 4,42,2026-04-02 15:00:00
LOG-8196,CON-5196,Stage 1,15,2026-02-05 03:00:00
LOG-8197,CON-5197,Stage 2,36,2026-02-17 21:00:00
LOG-8198,CON-5198,Stage 3,34,2026-04-06 17:00:00
LOG-8199,CON-5199,Stage 4,42,2026-02-17 18:00:00
LOG-8200,CON-5200,Stage 2,2,2026-03-01 06:00:00
LOG-8201,CON-5201,Stage 3,44,2026-04-11 00:00:00
LOG-8202,CON-5202,1,-999,2026-01-04 03:00:00
LOG-8203,CON-5203,Stage 3,37,2026-05-16 00:00:00
LOG-8204,CON-5204,Stage 4,8,2026-03-23 07:00:00
LOG-8205,CON-5205,Stage 4,12,2026-06-19 15:00:00
LOG-8206,CON-5206,1,6,2026-02-14 12:00:00
LOG-8207,CON-5207,Unknown,34,2026-01-19 04:00:00
LOG-8208,CON-5208,Stage 4,32,2026-02-07 02:00:00
LOG-8209,CON-5209,Stage 2,4,2026-05-25 05:00:00
LOG-8210,CON-5210,Stage 2,26,2026-06-10 11:00:00
LOG-8211,CON-5211,Stage 1,26,2026-01-16 13:00:00
LOG-8212,CON-5212,Unknown,25,2026-01-08 06:00:00
LOG-8213,CON-5213,1,23,2026-04-11 14:00:00
LOG-8214,CON-5214,Stage 4,14,2026-07-11 04:00:00
LOG-8215,CON-5215,Unknown,32,2026-04-15 20:00:00
LOG-8216,CON-5216,Stage 4,38,2026-05-14 09:00:00
LOG-8217,CON-5217,Stage 4,27,2026-06-03 00:00:00
LOG-8218,CON-5218,Stage 2,-999,2026-01-22 22:00:00
LOG-8219,CON-5219,Stage 4,2,2026-04-05 08:00:00
LOG-8220,CON-5220,1,41,2026-03-29 09:00:00
LOG-8221,CON-5221,Stage 4,19,2026-05-01 16:00:00
LOG-8222,CON-5222,1,44,2026-05-31 22:00:00
LOG-8223,CON-5223,1,38,2026-06-03 21:00:00
LOG-8224,CON-5224,Stage 4,21,2026-01-24 22:00:00
LOG-8225,CON-5225,Unknown,34,2026-05-13 19:00:00
LOG-8226,CON-5226,Stage 3,-999,2026-06-11 08:00:00
LOG-8227,CON-5227,Stage 3,38,2026-05-12 07:00:00
LOG-8228,CON-5228,Stage 2,20,2026-03-03 18:00:00
LOG-8229,CON-5229,1,19,2026-02-19 10:00:00
LOG-8230,CON-5230,Stage 4,17,2026-03-09 19:00:00
LOG-8231,CON-5231,Stage 2,12,2026-07-16 19:00:00
LOG-8232,CON-5232,Unknown,44,2026-03-17 06:00:00
LOG-8233,CON-5233,Stage 3,45,2026-05-19 17:00:00
LOG-8234,CON-5234,Stage 2,29,2026-05-29 16:00:00
LOG-8235,CON-5235,Stage 2,18,2026-06-13 07:00:00
LOG-8236,CON-5236,Unknown,40,2026-03-28 05:00:00
LOG-8237,CON-5237,Stage 4,23,2026-03-04 12:00:00
LOG-8238,CON-5238,Stage 3,36,2026-04-28 17:00:00
LOG-8239,CON-5239,Stage 1,38,2026-01-19 08:00:00
LOG-8240,CON-5240,Stage 1,35,2026-04-11 00:00:00
LOG-8241,CON-5241,1,16,2026-05-07 14:00:00
LOG-8242,CON-5242,Stage 4,17,2026-05-11 18:00:00
LOG-8243,CON-5243,Stage 4,3,2026-04-20 20:00:00
LOG-8244,CON-5244,Stage 3,30,2026-04-22 12:00:00
LOG-8245,CON-5245,Stage 1,11,2026-02-01 11:00:00
LOG-8246,CON-5246,Stage 1,-999,2026-01-18 08:00:00
LOG-8247,CON-5247,Unknown,17,2026-02-02 03:00:00
LOG-8248,CON-5248,1,13,2026-01-11 21:00:00
LOG-8249,CON-5249,1,-999,2026-01-29 10:00:00
LOG-8250,CON-5250,Stage 2,18,2026-04-21 07:00:00
LOG-8251,CON-5251,1,38,2026-05-27 08:00:00
LOG-8252,CON-5252,1,15,2026-02-08 00:00:00
LOG-8253,CON-5253,Stage 2,14,2026-02-13 12:00:00
LOG-8254,CON-5254,1,1,2026-02-11 02:00:00
LOG-8255,CON-5255,Stage 1,17,2026-05-05 03:00:00
LOG-8256,CON-5256,Stage 4,26,2026-02-26 07:00:00
LOG-8257,CON-5257,Stage 1,11,2026-02-26 08:00:00
LOG-8258,CON-5258,Stage 4,-999,2026-06-21 09:00:00
LOG-8259,CON-5259,Stage 2,38,2026-04-09 14:00:00
LOG-8260,CON-5260,Stage 4,5,2026-04-15 22:00:00
LOG-8261,CON-5261,Stage 1,24,2026-06-07 12:00:00
LOG-8262,CON-5262,Stage 4,17,2026-02-22 21:00:00
LOG-8263,CON-5263,Stage 1,33,2026-03-29 10:00:00
LOG-8264,CON-5264,1,39,2026-04-10 14:00:00
LOG-8265,CON-5265,1,9,2026-06-30 02:00:00
LOG-8266,CON-5266,Stage 4,43,2026-04-07 05:00:00
LOG-8267,CON-5267,Stage 3,20,2026-04-01 12:00:00
LOG-8268,CON-5268,1,18,2026-03-01 12:00:00
LOG-8269,CON-5269,Stage 2,1,2026-06-25 18:00:00
LOG-8270,CON-5270,Stage 1,4,2026-04-26 22:00:00
LOG-8271,CON-5271,Stage 1,22,2026-04-03 12:00:00
LOG-8272,CON-5272,Stage 4,28,2026-04-19 02:00:00
LOG-8273,CON-5273,Stage 3,14,2026-03-10 11:00:00
LOG-8274,CON-5274,Unknown,10,2026-02-26 18:00:00
LOG-8275,CON-5275,Stage 4,33,2026-02-20 01:00:00
LOG-8276,CON-5276,Stage 2,14,2026-01-24 22:00:00
LOG-8277,CON-5277,Stage 1,-999,2026-06-28 17:00:00
LOG-8278,CON-5278,Stage 2,33,2026-03-07 14:00:00
LOG-8279,CON-5279,Stage 2,27,2026-03-13 05:00:00
LOG-8280,CON-5280,Stage 2,10,2026-05-14 02:00:00
LOG-8281,CON-5281,Unknown,39,2026-01-14 18:00:00
LOG-8282,CON-5282,Stage 4,11,2026-03-15 17:00:00
LOG-8283,CON-5283,Stage 2,10,2026-03-02 00:00:00
LOG-8284,CON-5284,Stage 3,4,2026-01-18 03:00:00
LOG-8285,CON-5285,Stage 4,11,2026-05-17 03:00:00
LOG-8286,CON-5286,Stage 2,23,2026-07-05 05:00:00
LOG-8287,CON-5287,Stage 3,11,2026-03-04 00:00:00
LOG-8288,CON-5288,1,17,2026-05-12 00:00:00
LOG-8289,CON-5289,Stage 2,3,2026-04-11 04:00:00
LOG-8290,CON-5290,Stage 2,-999,2026-02-09 04:00:00
LOG-8291,CON-5291,Stage 4,23,2026-05-27 08:00:00
LOG-8292,CON-5292,Unknown,11,2026-07-01 03:00:00
LOG-8293,CON-5293,Stage 1,40,2026-06-05 01:00:00
LOG-8294,CON-5294,Stage 4,8,2026-01-01 09:00:00
LOG-8295,CON-5295,1,31,2026-06-23 12:00:00
LOG-8296,CON-5296,Unknown,25,2026-05-15 14:00:00
LOG-8297,CON-5297,Unknown,22,2026-06-05 18:00:00
LOG-8298,CON-5298,1,25,2026-07-12 08:00:00
LOG-8299,CON-5299,Stage 2,10,2026-05-09 15:00:00
LOG-8300,CON-5300,Stage 3,13,2026-01-19 19:00:00
LOG-8301,CON-5301,Stage 4,7,2026-06-04 13:00:00
LOG-8302,CON-5302,Stage 4,23,2026-01-07 10:00:00
LOG-8303,CON-5303,Unknown,1,2026-02-25 13:00:00
LOG-8304,CON-5304,Stage 2,28,2026-06-01 23:00:00
LOG-8305,CON-5305,Stage 2,19,2026-04-12 07:00:00
LOG-8306,CON-5306,Stage 3,-999,2026-02-28 14:00:00
LOG-8307,CON-5307,Stage 3,29,2026-07-02 14:00:00
LOG-8308,CON-5308,Stage 1,29,2026-02-03 13:00:00
LOG-8309,CON-5309,Stage 3,9,2026-06-13 03:00:00
LOG-8310,CON-5310,Unknown,22,2026-04-30 12:00:00
LOG-8311,CON-5311,Stage 3,4,2026-06-03 09:00:00
LOG-8312,CON-5312,Stage 4,35,2026-05-03 01:00:00
LOG-8313,CON-5313,Stage 3,-999,2026-03-26 06:00:00
LOG-8314,CON-5314,Stage 2,10,2026-01-03 03:00:00
LOG-8315,CON-5315,Stage 1,35,2026-03-11 01:00:00
LOG-8316,CON-5316,Stage 1,40,2026-05-14 11:00:00
LOG-8317,CON-5317,Stage 3,21,2026-06-06 14:00:00
LOG-8318,CON-5318,1,18,2026-04-05 01:00:00
LOG-8319,CON-5319,Stage 4,28,2026-07-14 15:00:00
LOG-8320,CON-5320,Unknown,2,2026-06-20 17:00:00
LOG-8321,CON-5321,Stage 4,32,2026-01-18 04:00:00
LOG-8322,CON-5322,Unknown,45,2026-04-23 23:00:00
LOG-8323,CON-5323,Stage 1,9,2026-02-06 06:00:00
LOG-8324,CON-5324,Stage 1,17,2026-04-11 07:00:00
LOG-8325,CON-5325,Stage 2,-999,2026-01-04 04:00:00
LOG-8326,CON-5326,Stage 4,12,2026-04-17 04:00:00
LOG-8327,CON-5327,Stage 1,16,2026-02-23 00:00:00
LOG-8328,CON-5328,Stage 4,2,2026-03-09 23:00:00
LOG-8329,CON-5329,Unknown,14,2026-04-30 05:00:00
LOG-8330,CON-5330,Stage 3,5,2026-06-21 14:00:00
LOG-8331,CON-5331,1,23,2026-05-01 08:00:00
LOG-8332,CON-5332,Stage 3,21,2026-06-11 21:00:00
LOG-8333,CON-5333,1,42,2026-06-24 22:00:00
LOG-8334,CON-5334,Stage 2,17,2026-06-02 07:00:00
LOG-8335,CON-5335,Stage 3,27,2026-05-04 08:00:00
LOG-8336,CON-5336,Stage 4,19,2026-05-08 23:00:00
LOG-8337,CON-5337,Stage 3,-999,2026-06-01 09:00:00
LOG-8338,CON-5338,Stage 2,9,2026-05-23 07:00:00
LOG-8339,CON-5339,Stage 1,15,2026-04-29 04:00:00
LOG-8340,CON-5340,Unknown,32,2026-04-03 13:00:00
LOG-8341,CON-5341,Stage 1,36,2026-03-26 09:00:00
LOG-8342,CON-5342,Stage 1,39,2026-05-04 21:00:00
LOG-8343,CON-5343,Stage 4,3,2026-04-22 12:00:00
LOG-8344,CON-5344,Stage 3,30,2026-01-08 10:00:00
LOG-8345,CON-5345,Stage 4,15,2026-05-05 15:00:00
LOG-8346,CON-5346,Stage 3,25,2026-04-21 07:00:00
LOG-8347,CON-5347,1,10,2026-03-28 05:00:00
LOG-8348,CON-5348,Stage 1,24,2026-01-22 03:00:00
LOG-8349,CON-5349,Stage 2,-999,2026-07-08 00:00:00
LOG-8350,CON-5350,Unknown,31,2026-01-24 22:00:00
LOG-8351,CON-5351,Stage 2,3,2026-01-01 15:00:00
LOG-8352,CON-5352,Unknown,-999,2026-03-16 11:00:00
LOG-8353,CON-5353,1,44,2026-04-02 21:00:00
LOG-8354,CON-5354,Stage 3,-999,2026-02-12 09:00:00
LOG-8355,CON-5355,Stage 1,-999,2026-05-30 02:00:00
LOG-8356,CON-5356,Stage 4,12,2026-02-13 12:00:00
LOG-8357,CON-5357,1,37,2026-03-16 19:00:00
LOG-8358,CON-5358,Stage 2,-999,2026-06-06 09:00:00
LOG-8359,CON-5359,Stage 2,-999,2026-06-05 08:00:00
LOG-8360,CON-5360,Stage 4,44,2026-05-12 03:00:00
LOG-8361,CON-5361,Stage 4,44,2026-03-14 01:00:00
LOG-8362,CON-5362,Stage 4,42,2026-02-11 22:00:00
LOG-8363,CON-5363,Stage 3,22,2026-05-11 09:00:00
LOG-8364,CON-5364,Stage 3,25,2026-04-18 07:00:00
LOG-8365,CON-5365,Stage 2,13,2026-03-03 14:00:00
LOG-8366,CON-5366,1,2,2026-01-21 01:00:00
LOG-8367,CON-5367,Stage 2,9,2026-01-28 14:00:00
LOG-8368,CON-5368,Unknown,4,2026-03-14 10:00:00
LOG-8369,CON-5369,Stage 4,15,2026-07-03 15:00:00
LOG-8370,CON-5370,1,41,2026-06-21 21:00:00
LOG-8371,CON-5371,Stage 4,19,2026-07-01 06:00:00
LOG-8372,CON-5372,Stage 2,23,2026-02-10 12:00:00
LOG-8373,CON-5373,Stage 4,3,2026-01-09 08:00:00
LOG-8374,CON-5374,Stage 4,31,2026-04-29 21:00:00
LOG-8375,CON-5375,Stage 3,20,2026-04-26 04:00:00
LOG-8376,CON-5376,Stage 3,45,2026-04-19 21:00:00
LOG-8377,CON-5377,Stage 1,36,2026-06-29 05:00:00
LOG-8378,CON-5378,Stage 1,10,2026-03-06 13:00:00
LOG-8379,CON-5379,Stage 2,21,2026-02-07 01:00:00
LOG-8380,CON-5380,Stage 2,38,2026-05-07 08:00:00
LOG-8381,CON-5381,Unknown,26,2026-01-10 00:00:00
LOG-8382,CON-5382,Stage 3,21,2026-06-07 11:00:00
LOG-8383,CON-5383,Stage 2,-999,2026-05-04 16:00:00
LOG-8384,CON-5384,Unknown,21,2026-06-24 21:00:00
LOG-8385,CON-5385,1,17,2026-05-16 12:00:00
LOG-8386,CON-5386,Stage 4,39,2026-06-06 06:00:00
LOG-8387,CON-5387,1,2,2026-04-27 23:00:00
LOG-8388,CON-5388,Stage 1,34,2026-07-13 14:00:00
LOG-8389,CON-5389,Unknown,1,2026-04-15 18:00:00
LOG-8390,CON-5390,Stage 4,4,2026-05-02 13:00:00
LOG-8391,CON-5391,Stage 3,38,2026-05-27 07:00:00
LOG-8392,CON-5392,Stage 3,14,2026-04-26 08:00:00
LOG-8393,CON-5393,1,2,2026-02-28 21:00:00
LOG-8394,CON-5394,Stage 2,16,2026-01-02 16:00:00
LOG-8395,CON-5395,Stage 4,-999,2026-04-26 07:00:00
LOG-8396,CON-5396,Stage 3,-999,2026-01-13 02:00:00
LOG-8397,CON-5397,1,34,2026-04-17 00:00:00
LOG-8398,CON-5398,Unknown,40,2026-03-20 19:00:00
LOG-8399,CON-5399,1,-999,2026-05-29 06:00:00
LOG-8400,CON-5400,Stage 2,18,2026-07-19 03:00:00
LOG-8401,CON-5401,Stage 3,24,2026-05-24 23:00:00
LOG-8402,CON-5402,Unknown,41,2026-02-21 00:00:00
LOG-8403,CON-5403,Stage 4,21,2026-06-15 07:00:00
LOG-8404,CON-5404,Unknown,-999,2026-02-03 23:00:00
LOG-8405,CON-5405,Stage 3,42,2026-03-16 21:00:00
LOG-8406,CON-5406,Stage 2,27,2026-02-22 23:00:00
LOG-8407,CON-5407,Unknown,18,2026-03-21 17:00:00
LOG-8408,CON-5408,Stage 1,4,2026-01-20 04:00:00
LOG-8409,CON-5409,Stage 3,0,2026-03-03 02:00:00
LOG-8410,CON-5410,Stage 3,7,2026-07-15 14:00:00
LOG-8411,CON-5411,Stage 1,34,2026-04-30 16:00:00
LOG-8412,CON-5412,Stage 3,39,2026-03-13 02:00:00
LOG-8413,CON-5413,Stage 2,22,2026-02-15 12:00:00
LOG-8414,CON-5414,1,16,2026-07-05 00:00:00
LOG-8415,CON-5415,Stage 2,5,2026-01-17 05:00:00
LOG-8416,CON-5416,Stage 2,33,2026-06-26 17:00:00
